ProdTaken,catboost_prediction,fold
1,0.6180907438873877,1.0
0,0.1304052387847445,7.0
1,0.14823166525506365,1.0
0,0.06895190377595356,1.0
1,0.43153688781834054,4.0
0,0.769076113664627,3.0
0,0.2516182200140991,4.0
0,0.2485281948663728,7.0
1,0.4403577068840267,2.0
0,0.286130944795959,3.0
0,0.0340225324392397,6.0
0,0.023199650523005336,2.0
0,0.02880428809067718,3.0
0,0.04599670383392249,1.0
1,0.24304612971793854,6.0
1,0.39731140270487064,6.0
1,0.7590584162293809,7.0
1,0.055386312314345744,6.0
0,0.25806887900907555,3.0
0,0.29412433557490963,6.0
0,0.025749171841049582,4.0
0,0.23179424209783678,5.0
1,0.17875262721560822,2.0
0,0.09453532830427269,2.0
0,0.2881984681726736,6.0
0,0.052790793022145406,4.0
0,0.034316886309593446,2.0
0,0.02995610128713609,6.0
0,0.020186361290178336,7.0
1,0.7657384707534816,3.0
0,0.0935308219285205,4.0
0,0.13375544617332,5.0
0,0.2815016291746081,1.0
0,0.2304354879615349,4.0
0,0.5504106123021945,1.0
1,0.8871606548299612,2.0
0,0.16191856772771512,5.0
0,0.03161000323567456,3.0
0,0.009920555079029673,3.0
0,0.037098202833606035,4.0
1,0.12051974290599177,4.0
1,0.31547444290958127,2.0
0,0.07274358439332247,5.0
0,0.2524863636605062,1.0
0,0.016183751040796945,3.0
0,0.05103665635208221,5.0
0,0.12682704433917286,3.0
0,0.08572431251904036,4.0
1,0.15589017641238462,5.0
0,0.10338667900788152,4.0
0,0.24445751570757338,6.0
0,0.028471916470868785,5.0
0,0.019066388867988303,2.0
0,0.08576110360205894,4.0
0,0.003416087052482297,1.0
0,0.04923018702511097,7.0
0,0.37628125444917765,4.0
1,0.26335229599390825,2.0
0,0.07209489960052316,7.0
1,0.9002412904137713,6.0
0,0.3191999324462918,7.0
1,0.7024701975522628,2.0
0,0.12883537796772865,2.0
0,0.1262447466967832,6.0
0,0.04738154923274407,2.0
0,0.018225407854501306,2.0
0,0.06790736624473864,6.0
0,0.020693571330280727,3.0
0,0.5609583747558589,5.0
0,0.2318159362238267,2.0
1,0.2738043211987367,3.0
0,0.030041140249992087,4.0
0,0.04654502343212156,4.0
0,0.17533263215959996,5.0
1,0.6636405832849288,4.0
0,0.2130233767299046,4.0
0,0.12536337255275715,2.0
0,0.2023546928928111,3.0
0,0.19770346058323224,4.0
0,0.02427913401788572,3.0
0,0.11033504492489617,2.0
0,0.06897366188916536,2.0
0,0.02775222234686819,2.0
0,0.02241585696990498,7.0
1,0.7021687932084698,3.0
0,0.3541482121764528,7.0
1,0.6054405242716719,2.0
0,0.032393493878907886,2.0
0,0.2621350463491029,4.0
0,0.18716287270036175,6.0
1,0.518994863598734,3.0
0,0.5773341535531037,4.0
0,0.28402480625056853,5.0
0,0.3072717325393688,6.0
0,0.2420240365662874,3.0
0,0.030498927549575987,7.0
1,0.08597457197586862,4.0
1,0.3628009700605358,1.0
1,0.5100283721443658,4.0
0,0.1864221696500912,7.0
1,0.6626948876847996,3.0
1,0.8471142491161385,7.0
1,0.43263851929734953,6.0
1,0.42268813907391395,1.0
1,0.4772802739756799,2.0
0,0.16785194346298973,4.0
0,0.12313114122729762,5.0
1,0.43104890416624564,2.0
1,0.9414000173148058,2.0
0,0.014833497556267327,5.0
0,0.26049840599911583,2.0
1,0.3647162081401247,1.0
0,0.02473471322136858,3.0
0,0.15972406999505637,3.0
0,0.0470972608365591,3.0
0,0.04131522334067595,7.0
0,0.023077602183278232,3.0
0,0.12126888890675713,2.0
