ProdTaken,catboost_prediction,fold
1,0.535714504014867,2.0
0,0.1534262312221755,3.0
1,0.17882025123029782,4.0
0,0.07134321971688819,2.0
1,0.37376446989349954,4.0
0,0.6767054120349403,3.0
0,0.29184379895894474,1.0
0,0.24433600565524652,2.0
1,0.49545035096814444,7.0
0,0.22960282272298846,5.0
0,0.032519421138867556,3.0
0,0.04169945327436145,5.0
0,0.07925413758317924,6.0
0,0.05297693240895199,2.0
1,0.3218429829833677,5.0
1,0.3413687034666325,1.0
1,0.8139354610891814,5.0
1,0.036051584777668066,7.0
0,0.45640418018202605,7.0
0,0.2838259515118936,6.0
0,0.060042907632736044,4.0
0,0.21016841727658248,4.0
1,0.24886490351303037,3.0
0,0.09685400148140932,2.0
0,0.23253976264843576,4.0
0,0.05778609052298478,3.0
0,0.0627111709325126,5.0
0,0.042623117478200724,2.0
0,0.0167716241062267,5.0
1,0.7227292743658896,3.0
0,0.12768461620575616,3.0
0,0.15614648702008285,3.0
0,0.2457055653557435,7.0
0,0.2301928330356571,7.0
0,0.693687701361875,2.0
1,0.6881335198026716,4.0
0,0.09330975385403353,6.0
0,0.04005330822206595,1.0
0,0.017580517531822187,1.0
0,0.035203128016883106,3.0
1,0.06819716912491412,4.0
1,0.3589698012273602,7.0
0,0.0796529937452738,2.0
0,0.33252987320688326,1.0
0,0.04305482782325873,2.0
0,0.06137920947447849,7.0
0,0.06614492688327105,4.0
0,0.052350314342219074,5.0
1,0.12400763659873767,5.0
0,0.12346176731534485,5.0
0,0.2503344989693241,6.0
0,0.055058716334335796,3.0
0,0.0438034434689833,6.0
0,0.08435357039445804,5.0
0,0.012932108591540186,1.0
0,0.042199321550307894,6.0
0,0.42594003698888205,2.0
1,0.19910392711038097,3.0
0,0.12783605778499585,2.0
1,0.9272128776210473,5.0
0,0.2532298377312039,4.0
1,0.7558534744136951,7.0
0,0.0984059911927737,3.0
0,0.0652459904300987,4.0
0,0.05516010111330769,2.0
0,0.04767718158956737,6.0
0,0.0778130144162874,7.0
0,0.04822541334709469,2.0
0,0.5438351280534814,6.0
0,0.2947851834542919,5.0
1,0.24573642973275203,5.0
0,0.062185407615319446,4.0
0,0.04377491412250118,5.0
0,0.30032844138159426,6.0
1,0.37709985325789214,3.0
0,0.2460150517684134,6.0
0,0.08054041458897757,6.0
0,0.1417854444615483,7.0
0,0.14951403266081034,1.0
0,0.040566402279642644,6.0
0,0.08552579839871877,7.0
0,0.0714072445434085,3.0
0,0.02741992368824517,1.0
0,0.024464755667569938,3.0
1,0.6720562301930287,1.0
0,0.4132920387823566,7.0
1,0.5987222526227333,3.0
0,0.10066104032587238,2.0
0,0.22680745014485915,6.0
0,0.19231689193365337,6.0
1,0.5375434879006369,6.0
0,0.4758486442841241,4.0
0,0.32130512095266905,3.0
0,0.2713719318620296,2.0
0,0.3325212061386563,1.0
0,0.10377306988064909,4.0
1,0.1426074938368746,4.0
1,0.2789256955616648,2.0
1,0.35856132621393105,1.0
0,0.21016841727658248,4.0
1,0.5515158245773321,7.0
1,0.8203104709875614,1.0
1,0.38522375070087733,6.0
1,0.35816746946821915,2.0
1,0.3240175864588611,4.0
0,0.1964538877120405,3.0
0,0.14739393772608275,1.0
1,0.2815964071582421,6.0
1,0.8518515288472753,2.0
